company_name,tier,contact_name,email,phone,website,city_state_zip,country,products_summary,product_codes,has_potting_products,source,extracted_date
Dirtcraft Organics LLC,Tier 1 - Craft Soil Blender,Adam  Schwartz,livingsoil@dirtcraftorganics.com,+1828-649-5161,www.dirtcraftorganics.com,"Marshall, NC  28753",United States,"Dirtcraft Living Soils G-Force All Purpose Mix (dob-17174), Dirtcraft Living Soils Levitation Seedling Mix (dob-17173)","dob-17174, dob-17173",True,OMRI Products List,2026-02-05
"Down To Earth Distributors, Inc.",Tier 1 - Craft Soil Blender,Adam Cole,acole@downtoearthdistributors.com,+18002345932,www.downtoearthdistributors.com,"Eugene, OR  97440",United States,"Down to Earth All Natural Fertilizers Seabird Guano 0-11-0 (det-10438), Down To Earth All Natural Fertilizer All Purpose Tomato & Vegetable Mix 4-6-2 (det- 1767), Down to Earth All Natural Fertilizer ","det-10438, det-3493, det-4842, det-2720, det-2998, det-18920, det-2187, det-2766, det-21292, det-8805, det-19968, det-19793, det-2532, det-5608, det-18921, det-11549, det-8806, det-17084, det-6492, det-11699, det-5558, det-4448, det-4970, det-20063, det-1082, det-11853",False,OMRI Products List,2026-02-05
Dr. Earth Co.,Tier 1 - Craft Soil Blender,Milo Shammas,milo@drearth.com,+17074484676,www.drearth.com,"Winters, CA  95694",United States,"Dr. Earth House Plant Indoor Potting Soil (dei-19797), Dr. Earth House Plant Pump & Grow Concentrated Indoor Plant Food 1-1-1 (dei-18382)","dei-19797, dei-18382",True,OMRI Products List,2026-02-05
Easy Gardener Inc.,Tier 1 - Craft Soil Blender,Scott Ross,scottr@jobescompany.com,+18599875389,www.jobescompany.com,"Paris, KY  40361",United States,"Jobe's Organics All-Purpose Granular Plant Food (egi-1990), Jobe's Organics Annuals & Perennials Granular Plant Food 3-5-4 (egi-6461), Jobes Organics Azalea, Camellia & Rhododendron Granular Plant Foo","egi-1990, egi-6461, egi-8985, egi-8562, egi-12129, egi-2657, egi-3342, egi-2659, egi-2660, egi-0828, egi-6508, egi-0830, egi-0827, egi-0829, egi-12131, egi-2867, egi-8333, egi-8487, egi-8488, egi-3344, egi-8987, egi-10012, egi-8988, egi-2866, egi-2658, egi-13933, egi-8374, egi-8334, egi-8388, egi-7480",True,OMRI Products List,2026-02-05
Envirem Organics,Tier 1 - Craft Soil Blender,Colin P. Murray,sales@envirem.com,+18005249411,www.envirem.com,,Canada,"Envirem Organics Inc. Potato Compost (eno-7633), Envirem Organics Manassas Leaf and Yard Compost (eno- 21320), ETI's Greenhouse Gold Dark-Bark Mulch (eno-1356), ETI's Greenhouse Gold Enriched Raised B","eno-7633, eno-1356, eno-20128, eno-1354, eno-1358, eno-1353, eno-1357",True,OMRI Products List,2026-02-05
"Foenix Forest Technology, Inc.",Tier 1 - Craft Soil Blender,Rick Fawkes,info@seasoil.com,+18667327645,www.seasoil.com,,CANADA,"E Essential Soils™ Organic Made with Sea Soil 1.7-.45-.21  (ssf-11908), Original Sea Soil Organic Compost 2.1-0.16-.05 (ssf- 9878), Potting Mix with Sea Soil Organic 1.8- 1.2-.2 (ssf-0198), Sea Soil! ","ssf-11908, ssf-0198, ssf-11917",True,OMRI Products List,2026-02-05
Green As It Gets,Tier 1 - Craft Soil Blender,,contact@greenasitgets.com,+16613663200,www.greenasitgets.com,"Bakersfield, CA  93306",USA,"Artisan Organics Planting Mix Fruit & Veggie (gag-16492) l, BioInfuze Brassica (Cole Crops) Microbial Inoculant (gag-21116), BioInfuze Fruit & Nut (Tree & Vine) Microbial Inoculant (gag-21117), BioInf","gag-16492, gag-21116, gag-21117, gag-21118, gag-8989, gag-7384, gag-7385",True,OMRI Products List,2026-02-05
Green Garden Products,Tier 1 - Craft Soil Blender,Ryan Turner,ryanturner@plantationproducts.com,+1508-285-5800,,,United States,Ferry-Morse Natural & Organic Seed Starting Mix (ggn-8586),ggn-8586,True,OMRI Products List,2026-02-05
Gro-Well Brands,Tier 1 - Craft Soil Blender,Lloyd Porter,regulatory@gro-well.com,+16027920275,www.gro-well.com,,United States,"Beyond Peat Professional Organics BIO-FIBER Organic Soil Conditioner (gwb- 18252), Beyond Peat Professional Organics Organic All-Purpose Garden Soil (gwb-15208) *, Beyond Peat Professional Organics Or","gwb-15208, gwb-15207, gwb-11657, gwb-11656, gwb-16999, gwb-11658, gwb-13122, gwb-13121",True,OMRI Products List,2026-02-05
Jiffy International,Tier 1 - Craft Soil Blender,Khaled Abed,khaled.abed@jiffygroup.com,+15063362284,www.jiffygroup.com,,CANADA,"J7 Organic Peat Coir Pellet (jip- 20594), Coco Substrate Compressed- Coco Substrate Coco Pith 100% (jip-2583), J7 Organic Peat Pellet (jip-7162), J7 Organic QSM Peat Pellet (jip-7611), Jiffy 2” Biodeg","jip-2583, jip-7162, jip-7611, jip-22145, jip-1719, jip-1720, jip-6817, jip-6820, jip-6818, jip-18684, jip-1389, jip-5265, jip-5266, jip-18363, jip-18365, jip-1716",True,OMRI Products List,2026-02-05
KSI,Tier 1 - Craft Soil Blender,Marketing Barron,rubenbarron@kellogggarden.com,+19517508900,,"Carson, CA  90745",United States,"Gardner & Bloome  G&B Organics Raised Bed & Potting Mix (ksi-5298) l, Gardner & Bloome G&B Organics Acid Planting Mix (ksi-7742) l, Gardner & Bloome G&B Organics Blue Ribbon Blend Premium Potting Soil","ksi-5298, ksi-7742, ksi-7743, ksi-6131, ksi-8224, ksi-7745, ksi-6176, ksi-7748, ksi-7749, ksi-7750, ksi-7751, ksi-7752, ksi-7753, ksi-7754",True,OMRI Products List,2026-02-05
Kellogg Garden Products,Tier 1 - Craft Soil Blender,Ruben Barron,rubenbarron@kellogggarden.com,+19517508900,www.kellogggarden.com,"Carson, CA  90745",United States,"Gardner & Bloome G&B Organics All Purpose Fertilizer 4-4-4 (kgp-1613), Gardner & Bloome G&B Organics All Purpose Fertilizer with MicroAlgae 4-4-4 Granular (kgp-14810), Gardner & Bloome G&B Organics Bl","kgp-1613, kgp-14810, kgp-14811, kgp-1615, kgp-14812, kgp-2289, kgp-15379, kgp-1608, kgp-1609, kgp-14813, kgp-1614, kgp-1612, kgp-14814, kgp-1359, kgp-6846, kgp-14191, kgp-6847, kgp-6848, kgp-6849, kgp-6850, kgp-3472, kgp-6056, kgp-13960, kgp-13959",True,OMRI Products List,2026-02-05
KnowingNature LLC,Tier 1 - Craft Soil Blender,Rachel Haber,rachel@knowingnature.com,,www.knowingnature.com,"Englewood, NJ  07631",United States,Organic Coco Coir Instant Potting Mix: (knl-19842),knl-19842,True,OMRI Products List,2026-02-05
LGM Soil dba LGM Company,Tier 1 - Craft Soil Blender,Sam Banuelos,sam@lgmsoil.com,+16264488042,www.lgmsoil.com,,USA,"LGM Soil Amendments Organic & Natural 2-in-1 Planting Mix & Mulch (lgm- 15598) l, LGM Soil Amendments Organic & Natural Cactus Succulent Palm & Citrus Mix (lgm-15599) l, LGM Soil Amendments Organic & ","lgm-15599, lgm-15787, lgm-20026, lgm-15788, lgm-15790, lgm-15597, lgm-15789, lgm-15791",True,OMRI Products List,2026-02-05
Living Soil Management Inc.,Tier 1 - Craft Soil Blender,Josh Adams,livingsoilmgmt@gmail.com,+1503-313-0008,,,United States,"Living Amino Boron 5-0-0, 10% B (lsf-21632) l, Living Amino Cal 8-0-0 (lsf- 21634), Living Amino K 2-0-14 (lsf-21668), Living Amino Micros 7-0-0 (lsf-21635) l, Living Amino N 14-0-0 (lsf-21633)","lsf-21632, lsf-21668, lsf-21635, lsf-21633",False,OMRI Products List,2026-02-05
McEnroe Organic Farm,Tier 1 - Craft Soil Blender,Raymond McEnroe,ray@mcenroefarm.com,+15187893252,,"Millerton, NY  12546",USA,"McEnroe Organic Farm Premium Garden Blend (mco-15978) l, McEnroe Organic Farm Premium Lite Growing Mix (mco-2606), McEnroe Organic Farm Premium Organic Potting Soil (mco-2793)","mco-15978, mco-2606, mco-2793",True,OMRI Products List,2026-02-05
Michigan Peat Company,Tier 1 - Craft Soil Blender,J. David Newman,dnewman@michiganpeat.com,+18003247328,www.michiganpeat.com,,United States,"Baccto® Organic Compost (mpc- 6043), Baccto® Organic Premium Potting Soil (mpc-7304), Baccto® Peat (mpc-3990), Baccto® Sphagnum Peat Moss Soil Conditioner and Mulch (mpc-4273), Baccto® Veggie Mix (mpc","mpc-7304, mpc-3990, mpc-4273, mpc-3289",True,OMRI Products List,2026-02-05
"Miller Companies, LC",Tier 1 - Craft Soil Blender,Floyd Faucette,ffmillers@aol.com,+1435-245-3157,,"Hyrum, UT  84319",United States,"Blue Ribbon Landscaping Products Miller's A to Z Mix Soil Stimulator & Plant Food Mix (mlc-11249), Blue Ribbon Landscaping Products Miller's All Purpose Organic Blend Topsoil (mlc-21409), Blue Ribbon ","mlc-11249, mlc-21409, mlc-21410, mlc-21411, mlc-21406, mlc-21407, mlc-21408",True,OMRI Products List,2026-02-05
Natural Pack INC,Tier 1 - Craft Soil Blender,,contactus@supermoss.com,+1(805)933-4888,https://www.supermoss.com/,,United States,SuperMoss Organic Potting Mix (npe-20707),npe-20707,True,OMRI Products List,2026-02-05
New Earth,Tier 1 - Craft Soil Blender,Michael Lininger,mlininger@newearthcompost.com,+12106615180,www.newearthcompost.com,"San Antonio, TX  78204",United States,"New Earth Manure Compost (nen- 7485), New Earth Organic Top Shelf Cactus Soil (nen-11342), New Earth Organic Top Shelf Compost (nen-7486), New Earth Organic Top Shelf Garden Soil (nen-7483), New Earth","nen-11342, nen-7486, nen-7483, nen-11104, nen-7487, nen-11349",True,OMRI Products List,2026-02-05
"P.F. Harris Manufacturing Company,",Tier 1 - Craft Soil Blender,LLC,,+18006370317,,"Cartersville, GA  30120",USA,"Harris Coco Coir Pith Compressed Coconut Fiber Expandable Substrate (pfh- 15677), Harris Perlite Horticultural Grade (pfh- 18898), Harris Potting Mix All Purpose with Worm Castings (pfh-17573), Harris","pfh-17573, pfh-17713, pfh-16091",True,OMRI Products List,2026-02-05
Pineae Greenhouses Inc.,Tier 1 - Craft Soil Blender,Brian Gold,bgold@pineae.com,,www.pineae.com,,United States,WOOLY WATER WISE Premium Indoor & Outdoor Potting Mix (pgj-21079) l,pgj-21079,True,OMRI Products List,2026-02-05
PittMoss LLC,Tier 1 - Craft Soil Blender,Brian Scott,brian@pittmoss.com,+18888422553,www.pittmoss.com,"Ambridge, PA  15003",United States,"PittMoss Plentiful Potting Mix (pit- 10312) l, PittMoss® Prime Soil Amendment (pit-7809)",pit-7809,True,OMRI Products List,2026-02-05
"Planet Found Energy Development,",Tier 1 - Craft Soil Blender,LLC,ncloyd@chpk.com,+13026975375,,,United States,Element Soil Annemessex Blend Potting Mix (pfe-16975) l OMRI Products List Crop Products by Company 149,pfe-16975,True,OMRI Products List,2026-02-05
"Premier Horticulture, Inc.",Tier 1 - Craft Soil Blender,Ed Bloodnick,bloe@premiertech.com,+1800-424-2554,www.premierhort.com,"Quakertown, PA  18951-1682",United States,"Premier Organic Garden Soil 0.04 - 0.06 - 0.04 (phl-7738), Premier® Sphagnum Peat Moss (phl-1339), Pro-Mix Connect Mycorrhizal Inoculant Powder (phl-11926), PRO-MIX FLX Flexible Purpose Growing Medium","phl-7738, phl-1339, phl-11926, phl-8686, phl-10611, phl-8403, phl-2698, phl-12747, phl-3549, phl-7453, phl-1537, phl-1536, phl-1538",True,OMRI Products List,2026-02-05
"Purple Cow Organics, LLC",Tier 1 - Craft Soil Blender,Jerod Reuter,jreuter@purplecoworganics.com,+16088310349,www.purplecoworganics.com,"Middleton, WI  53562",United States,"BioActive Liquid Supercharger Concentrated (pco-19171), Bioactive Liquilife+ (pco-17146), Jung Family Garden Raised Bed Mix (pco-11768), Jung Family Garden Seed Starting Mix (pco-11704), Purple Cow In","pco-19171, pco-17146, pco-11768, pco-11704, pco-10844, pco-3468, pco-5222, pco-14237, pco-16312, pco-7029, pco-8884, pco-3469, pco-22112, pco-7867, pco-5223",True,OMRI Products List,2026-02-05
Rexius Forest By-Products,Tier 1 - Craft Soil Blender,Dan Sutton,dans@rexius.com,+18884739487,www.rexius.com,"Eugene, OR  97402",USA,"Garden Valley Naturals All Natural & Organic Biochar (rex-6103), Garden Valley Naturals All Natural & Organic Worm Castings (rex-7877), Garden Valley Organics Organic Compost (rex-13905), Opus Grows B","rex-6103, rex-7877, rex-13905, rex-10326, rex-10330, rex-10327, rex-10328, rex-10329, rex-22360",True,OMRI Products List,2026-02-05
Sawgrass Organics LLC,Tier 1 - Craft Soil Blender,Marc Nakhel,marc@sawgrassorganics.com,+19043839265,,"Jacksonville, FL  32256",United States,Sawgrass Organics Potting Mix (sfw-22755),sfw-22755,True,OMRI Products List,2026-02-05
Shaans LLC,Tier 1 - Craft Soil Blender,Shan Muruganantham,,+17143504685,www.coirgro.com,"Chino Hills, CA  91709",USA,"Coirgro 100% Organic Coco Peat - Growing  Medium Potting Mix, Seed Starting (shn-7482), Coirgro coco Grow Slab/Bag (shn- 8191)",shn-7482,True,OMRI Products List,2026-02-05
Soil Seed And Water llc,Tier 1 - Craft Soil Blender,Jaziel Baez,jaziel.baez@agave-inc.com,+16022541464,,,United States,"Dan's Gold (ssq-15428), Soil Seed & Water Amazonian Dark Earth Biochar Mineral (ssq-20283), Soil Seed & Water ARTEMIS ROOT BOOST BLEND Tree and Shrub Planting Amendment (ssq-19943), Soil Seed & Water ","ssq-15428, ssq-20283, ssq-19943, ssq-20286, ssq-18054, ssq-19942, ssq-21127, ssq-18026, ssq-21555, ssq-19944, ssq-20152, ssq-20284, ssq-20168, ssq-18027, ssq-20288, ssq-20287, ssq-18053, ssq-19873, ssq-21667, ssq-19874",True,OMRI Products List,2026-02-05
Swanson Bark & Wood Products,Tier 1 - Craft Soil Blender,Steven Liffers,steve@swansonbark.com,,,"Longview, WA  98632",United States,"California's Own Organic Flower & Vegetable Garden Soil (sbw-17719) l, California's Own Organic Flower & Vegetable Potting Mix (sbw-17718) l, California's Own Organic Flower & Vegetable Raised Bed Soi","sbw-17719, sbw-17718, sbw-17717, sbw-13229, sbw-13226, sbw-13232, sbw-13228, sbw-13231, sbw-13227, sbw-17715, sbw-17716, sbw-10569, sbw-16556, sbw-16557, sbw-16555, sbw-16560, sbw-16558",True,OMRI Products List,2026-02-05
Tank's Green Stuff,Tier 1 - Craft Soil Blender,,shota@ffxsite.net,+15202902796,,"Tucson, AZ  85715",United States,"Tank's Green Stuff 100% Natural Organic Fertilizer Super Mix (fcp-7578), Tank's Green Stuff Tank's Organic Compost (fcp- 6774), Tank's Green Stuff Tank's Potting Mix Organic ""Coco-Soil"" (fcp-16044), T","fcp-7578, fcp-16044, fcp-15085",True,OMRI Products List,2026-02-05
Terrace Brands,Tier 1 - Craft Soil Blender,Tracey Angel,tracey.angel@scotts.com,+18665413114,,,United States,"Bonnie Plants FOODIE FRESH CONTAINER PLANT FOOD (trb-16300), Bonnie Plants Harvest Select Organic Raised Bed Soil (trb-17175), BONNIE PLANTS HARVEST SELECT RAISED BED PLANT FOOD 8-2-5 (trb- 17517), Bo","trb-16300, trb-17175, trb-16729, trb-15781, trb-15782, trb-15783, trb-15786, trb-15785, trb-20569, trb-19517, trb-18589",True,OMRI Products List,2026-02-05
"Texas Mulch Masters, Inc.",Tier 1 - Craft Soil Blender,Nolan  Butterfras,nolan@texasmulchmasters.com,+1713-859-3658,,,United States,PotDirt Natural & Organic Potting Soil (tmm-15806),tmm-15806,True,OMRI Products List,2026-02-05
"The Answer Garden Products, Ltd.",Tier 1 - Craft Soil Blender,Martin Moser,martin@envirowaste.ca,+18006671942,,,CANADA,The Answer! 100% Organic Potting Soil (agp-3017),agp-3017,True,OMRI Products List,2026-02-05
The Mulch & Soil Company,Tier 1 - Craft Soil Blender,Trey George,tgeorge@themulchsoilco.com,,,"Fort Myers, FL  33916",United States,"Aged Pine Bark Fines (tmb-18669), Jungle Growth Organic Compost plus Manure 0.5-0.5-0.5 (tmb-22855), Jungle Growth Organic Garden Mix (tmb-15321), Jungle Growth Organic Potting Mix (tmb-15316), Jungle","tmb-18669, tmb-22855, tmb-15321, tmb-15316",True,OMRI Products List,2026-02-05
The Organic Mechanics Soil,Tier 1 - Craft Soil Blender,"Company, LLC",mark@organicmechanicsoil.com,+16103804598,www.organicmechanicsoil.com,"Kennett Square, PA  19348",United States,"American Plant Organic Potting Soil (tom-1583), American Plant Planting Mix Biochar Blend (tom-3676), Homestead Gardens Homestead Select All-Purpose Organic Potting Soil 0.5-0.1-0.5 A Ready-To- Use Mi","tom-1583, tom-3676, tom-7722, tom-17368, tom-2835, tom-5126, tom-2768, tom-16545, tom-3619, tom-1108",True,OMRI Products List,2026-02-05
Toscana Corporation,Tier 1 - Craft Soil Blender,Lindsay Gerstmyer,lindsay@toscanacorp.com,+1508,www.toscanacorp.com,,United States,"NANTUCKET SOIL COLLECTION ORGANIC COMPOST (tce-16234), NANTUCKET SOIL COLLECTION ORGANIC GARDEN SOIL FOR GARDEN BED ESTABLISHMENT & RENOVATION (tce- 16236), NANTUCKET SOIL COLLECTION ORGANIC LAWN SOIL","tce-16234, tce-19982",True,OMRI Products List,2026-02-05
"True Organic Products, Inc.",Tier 1 - Craft Soil Blender,Beatrice Pardo,info@true.ag,+18313754796,www.true.ag,"Spreckels, CA  93962",United States,"TRUE Bio-Blend Liquid Fertilizer 0.5- 0-1 (top-2946), True Bio-Builder 0.5-0-1 (top- 7765), True Choke-Out Herbicide (top-21696) l, True Coop Juice 2-1-1  (top-20832), True Organic 4-0-1 Liquid Lawn F","top-2946, top-21696, top-20832, top-13898, top-21993, top-13881, top-21994, top-17398, top-21991, top-13900, top-13903, top-13901, top-21376, top-13922, top-22289, top-17399, top-13899, top-21988, top-18957, top-13915, top-15033, top-16137, top-13914, top-20747, top-18021, top-16138, top-13902, top-2434, top-0914, top-9061, top-17875, top-9060, top-15883",True,OMRI Products List,2026-02-05
"VOR, Inc.",Tier 1 - Craft Soil Blender,Mike Rooney,miker@vermontorganics.com,+1802-862-1924,www.vermontorganics.com,"Williston, VT  05495",United States,"Coir (voa-15125), Vorganic Organic Growers Potting Mix (voa-15274) l, Vorganic Seed Starter (voa-15294) l OMRI Products List Crop Products by Company 203","voa-15125, voa-15274, voa-15294",True,OMRI Products List,2026-02-05
"Vogel Seed & Fertilizer, LLC",Tier 1 - Craft Soil Blender,Patrick Morris,p.morris@iocmgmtco.com,+18452388745,,,United States,"Burpee Enhanced Natural and Organic All Purpose Plant Food 5-5-5 (vsf- 19505), Burpee Enhanced Natural and Organic Rose + Bloom Plant Food 4-6-4 (vsf- 19506), Burpee Enhanced Natural and Organic Tomat","vsf-19507, vsf-19514, vsf-19515, vsf-19678, vsf-19680, vsf-19677, vsf-19509, vsf-19676, vsf-19510, vsf-19679, vsf-19511, vsf-19513",True,OMRI Products List,2026-02-05
Wallace Farm Inc,Tier 1 - Craft Soil Blender,Eric Wallace,eric@wallacefarmproducts.com,+17048752975,www.wallacefarmproducts.com,"Huntersville, NC  28078",USA,"BEYOND Peat Professional Organics BIO-FIBER ORGANIC SOIL CONDITIONER (wfr-19014), Wallace Farm Carolina Gold Organics Premium Garden Soil (wfr-17293), Wallace Farm Carolina Gold Organics Premium Potti","wfr-19014, wfr-17293, wfr-17294, wfr-8921, wfr-8919",True,OMRI Products List,2026-02-05
"1399), Miracle-Gro® Raised Bed Soil (mgp-",Tier 2 - Commodity Producer,,,,,,,,,False,OMRI Products List,2026-02-05
Berger Peat Moss,Tier 2 - Commodity Producer,Product Management,productsupp@berger.ca,+14188624462,www.berger.ca,,CANADA,"Berger OM2 Seed Germination Mix (bpm-7770), Berger OM2NFWNOFFTS OM2 NFWOOD HP NO FERT FST SKY (bpm-16244), Berger OM4NFWSTDFST OM4 NF WOOD FST SKY (bpm-19086), Berger OM5 NFWOOD HP NOC SKY (bpm-22423)","bpm-7770, bpm-16244, bpm-19086, bpm-22423, bpm-8894, bpm-8948, bpm-7771, bpm-5448, bpm-1098, bpm-12263, bpm-8961",False,OMRI Products List,2026-02-05
"Lambert Peat Moss, Inc.",Tier 2 - Commodity Producer,Frédéric Gagnon,info@lambertpeatmoss.com,+18004634083,www.lambertpeatmoss.com,,Canada,"Beltwide Incorporated The Gold Organic Soilless Mix Peat Moss Substrate Formulated for Germination of Vegetables and Tobacco Seeds (lpm-6148), Canadian Gold Coarse Grade Professional Canadian Sphagnum","lpm-6148, lpm-3202, lpm-18254, lpm-1309, lpm-15060, lpm-5929, lpm-8597, lpm-7223, lpm-7224, lpm-19338, lpm-3200, lpm-7921, lpm-10854, lpm-10855, lpm-5791, lpm-5790, lpm-16417, lpm-21897, lpm-6929, lpm-19337, lpm-1056, lpm-8598, lpm-1829, lpm-19339, lpm-1055, lpm-1053, lpm-1054, lpm-1831, lpm-19335, lpm-1830",True,OMRI Products List,2026-02-05
Miracle-Gro Lawn Products Inc.,Tier 2 - Commodity Producer,Greg Cunningham,greg.cunningham@scotts.com,+19376452772,www.miraclegro.com,"Marysville, OH  43041",United States,"Miracle-Gro nature's care Insecticidal Soap (mgp-4418) l, Miracle-Gro nature's care Organic Garden Soil with Water Conserve (mgp-4863), Miracle-Gro nature's care Organic Incredible Expanding Planting ","mgp-4418, mgp-4863, mgp-7316, mgp-19498, mgp-20495, mgp-6014, mgp-15891, mgp-20452, mgp-20476, mgp-20529, mgp-22265, mgp-20496, mgp-20506, mgp-20453, mgp-20897, mgp-20497, mgp-11075, mgp-10996, mgp-12141, mgp-12137, mgp-12140, mgp-12138, mgp-12352, mgp-12139, mgp-8496, mgp-18482, mgp-5924, mgp-5230, mgp-1400",True,OMRI Products List,2026-02-05
