name,email,website,phone,country,city,state,zip_code,product_count,confidence
"Blue Ocean Organics, Inc.",manderson@blueoceanorganics.com,www.blueoceanorganics.com,+1559908-9761,United States,Fresno,CA,93722,1,95%
Blue Ribbon Organics,james@blueribbonorganics.com,www.blueribbonorganics.com,+12624978539,United States,Caledonia,WI,53108,1,95%
Bluebird Composting LLC,info@bluebirdcomposting.com,www.bluebirdcomposting.com,+15739994082,United States,Fulton,MO,65251-3739,1,95%
Botanicoir Ltd,charlotte.m@botanicoir.com,www.botanicoir.com,+442071180788,UK,,,,8,100%
"Branch Creek Organics, LLC",nclemmer@synateksolutions.com,,+12152728598,United States,Souderton,PA,18964,8,85%
"Brut Worm Farms, Inc.",karen.larson@brutwormfarms.com,,+1320-634-6727,United States,Brooten,MN,56316,5,85%
C&C Organics,claudiacuadras@hotmail.com,www.bom.blue,+526672342607,Mexico,,,,1,95%
"California Soils, Inc.",conor@californiasoils.com,www.californiasoils.com,+12098359530,United States,Westley,CA,95387,2,100%
Caliplant Agro S.L.,diegoguirao@caliplant.com,www.originalius.com,,,,,,4,90%
"Carolina Soil Company, Inc.",kbrown@carolinasoil.com,http://www.carolinagreenhouses.com/page/p,+18006354532,Canada,Kinston,NC,28503,1,95%
Coachella Valley Compost Facility,mveto@burrtecdesert.com,www.burrtec.com,+17605786169,United States,Palm Desert,CA,92260,3,100%
"Coast of Maine Organic Products, Inc.",compliance@coastofmaine.com,www.coastofmaine.com,+1717-786-2146,United States,Portland,ME,04101,16,100%
Coastal Fertilizer & Supply Inc,tpcoastal@yahoo.com,,+1239-253-4321,United States,LaBelle,FL,33935,2,85%
CoirMedia(India) Export,sales@coirmedia.com,,,India,,,,1,70%
"CoirTech, S.A. de C.V.",alberto@coirtech.com.mx,www.coirtech.com.mx,+523133246362,México,,,,3,100%
Compost Solutions Inc,scottnikki@clearwire.net,http://compostsolutionsinc.com/,+15308659422,United States,Orland,CA,95963,1,95%
"Converted Organics, LLC",curtis@convertedorganics.com,www.convertedorganics.com,+18316758600,United States,Gonzales,CA,93926,6,100%
Deepthi Organics LLC,sundars@deepthiorganics.com,www.organicverdana.com,,United States,Greensboro,NC,27406,1,85%
Den Ouden GrowSolutions B.V.,growsolutions@denoudengroep.com,www.denoudengrowsolutions.com,+31884254638,US,,,,5,100%
DEPLANT SA DE CV,jarol.uvario@deplant.com.mx,,,US,,,,1,70%
diatomix S de RL de CV,paolavelasco@diatomix.mx,www.diatomix.mx,+523322645487,Mexico,,,,5,100%
Digested Organics LLC,sbagchi@mottcorp.com,https://terrafloworganics.com/,+1734-375-9883,United States,Plymouth,MI,48170,4,100%
Dirtcraft Organics LLC,livingsoil@dirtcraftorganics.com,www.dirtcraftorganics.com,+1828-649-5161,United States,Marshall,NC,28753,2,100%
"DK Organics, LLC",amariani@dkorganics.com,www.dkorganics.com,+18472345499,USA,Lake Bluff,IL,60044,1,95%
Earth Farms Organics,mfarrell@wrenvironmental.com,,+19786467355,USA,Dallas,NC,28034,1,80%
Earthworm Organics Corporation,vermigrow@ewocorp.com,www.vermigrow.net,+17607741632,United States,Thermal,CA,92274,1,95%
Enlightened Soil Corp,frankie@ensoilalgae.com,www.ensoilalgae.com,+18438673463,United States,"Suite C
Johns Island",SC,29455,2,100%
Envirem Organics,sales@envirem.com,www.envirem.com,+18005249411,Canada,,,,7,100%
"Ferti-Organic, Inc.",mcasillas@ferti-organic.com,www.ferti-organic.com,+19565748280,United States,Brownsville,TX,78526,13,100%
FOOP Organic Biosciences,omri@thefoop.com,www.thefoop.com,+16462219801,United States,North Bethesda,MD,20852,9,100%
FoxFarm Soil & Fertilizer Company,registration@foxfarm.com,www.foxfarm.com,+17074434369,Japan,Arcata,CA,95518,12,100%
Garden Prairie Organics,mike@gpocompost.com,www.gpocompost.com,+18155971318,United States,Garden Prairie,IL,61038,1,95%
Georgia Soil Company,kccronan@gwarrecycle.com,https://www.georgiasoil.com/,+16786961280,United States,Gainesville,GA,30503,1,95%
"Gies Organic Products, Inc",djgies@atnet.net,,+15097504850,United States,Moses Lake,WA,98837-0073,2,85%
"Go Green Organics, LLC",ggooffice@gogreenorg.com,http://www.gokulgroup.com/,+19287181040,India,Yuma,AZ,85364,1,95%
Gospa Organics S.P.R. de R.L.,comercial@gospaorganics.com,www.gospaorganics.com,+523315691074,,,,,1,95%
G-Planter SDN BHD,laupy@g-planter.com,www.g-planter.com,+6077878488,,,,,1,95%
GROUND UP SOIL,andrewjwestlund@gmail.com,,+15037692057,United States,Scio,OR,97374,4,85%
Grow Appalachia,candace_mullins@berea.edu,www.growappalachia.org,+18599853687,United States,Berea,KY,40404,1,95%
"Grower's Secret, Inc.",chazb@growerssecret.com,www.growerssecret.com,+18882179426,United States,Antioch,CA,94509,7,100%
"Growing Solutions, Inc.",michael@growingsolutions.com,,+15413438727,United States,Eugene,OR,97402,1,80%
GrowMate International LLC,vcardenas@growmateintl.com,www.growmateintl.com,+12818669714,United States,Houston,TX,77090,2,100%
Grow-Tech,memo@usaagsupplies.com,www.usaagsupplies.com,+18059880166,United States,Camarillo,CA,93011,2,100%
Higrow Solutions Inc,shripal@higrowsolutions.us,,+19088379498,USA,Hillsborough,NJ,08844,1,80%
"Howard Fertilizer & Chemical Co., LLC",cfeliciano@howardfert.com,,+18635591117,United States,Groveland,FL,34736,3,85%
iCoir Products Group,dshoup@icoirgroup.com,www.iCoir.com,,USA,Oregon City,OR,97045,2,90%
Imperial Valley Compost,bruce@ivcompost.com,,+17603511900,United States,Brawley,CA,92227,1,80%
"Indian River Organics, LLC",info@indianriverorganics.com,www.indianriverorganics.com,+18888332011,USA,Orange City,FL,32763,5,100%
IV Organic,info@IVOrganics.com,www.IVOrganics.com,,USA,Burbank,CA,91505,4,90%
Jepson Prairie Organics,kcarrier@recology.com,www.jepsonprairieorganics.com,+18002082371,United States,Dixon,CA,95620,3,100%
Joyful Dirt Organics,ian@joyfuldirt.com,www.joyfuldirt.com,,USA,,,,1,85%
Juniper Organics Limited,daniels.manon@jdirving.com,www.juniperfarms.com,+15062465614,Canada,,,,4,100%
"Just Good Soil, Inc.",purorenewables@bmcreg.com,,+1661261-0634,United States,Bakersfield,CA,93314,5,85%
Kaira Organic World,info@kairaorganic.com,www.kairaorganic.com,,India,,,,1,85%
Kingdom Plants S de RL de CV,kingdomplants1@gmail.com,,,México,,,,1,70%
Kristy K Organics,kristy@kristykorganics.com,www.kristykorganics.com,+13204296200,India,Sauk Centre,MN,56378,3,100%
"Lambert Peat Moss, Inc.",info@lambertpeatmoss.com,www.lambertpeatmoss.com,+18004634083,Canada,,,,30,100%
"Land & Sea Organics, Inc.",info@landandseaorganics.com,www.landandseaorganics.com,+12095270607,United States,Cedar City,UT,84721,3,100%
LGM Soil dba LGM Company,sam@lgmsoil.com,www.lgmsoil.com,+16264488042,USA,,,,8,100%
"LIDA PLANT RESEARCH, S.L.",jorge.gimeno@lidaplantresearch.com,www.lidaplantresearch.com,+34961767033,,,,,4,100%
Life Cycle Organics LLC,lifecycleorganic@gmail.com,,,USA,Franklin,NC,28734,1,70%
Life Organics Mexico,lifeorganicsmexico@hotmail.com,www.lifeorganics.com.mx,+526878712632,Mexico,,,,1,95%
Long Island Compost,tv@licompost.com,www.licompost.com,+16312897312,United States,Yaphank,NY,11980,1,95%
"McGeary Organics, Inc.",shawn@mcgorganics.com,www.mcgearyorganics.com,+18006243279,United States,Lancaster,PA,17601,3,100%
Michigan Peat Company,dnewman@michiganpeat.com,www.michiganpeat.com,+18003247328,United States,Houston,TX,77098,4,100%
Midwest Organics Recycling,contactus@midwestorganicsrecycling.com,www.midwestorganicsrecycling.com,+18473936643,United States,McHenry,IL,60051,2,100%
Missouri Organic Recycling,kevin@missouriorganic.com,www.missouriorganic.com,+18164830908,USA,Kansas City,MO,64129,1,95%
Mountain Gate Organics,mountaingateorganics@gmail.com,,+15409089544,USA,Harrisonburg,VA,22802,1,80%
Neem Organics inc,neemorganics@gmail.com,www.neem-organics.com,,United States,Fresno,CA,93277,2,90%
NeemTree Organics,harsh@nimtreeorganics.com,www.neemtreeorganics.com,+17653257711,USA,Roseville,CA,95661,5,100%
Nelson Plant Food,kellie@nelsonplantfood.com,www.nelsonplantfood.com,+19798658596,USA,Bellville,TX,77418,2,100%
North Country Organics,pds@norganics.com,www.norganics.com,+18022224277,United States,Bradford,VT,05033,9,100%
NuOrganics LLC,egiraldo@nuorganics-llc.com,www.nurturegrowthbio.com,+18566694001,Canada,Robbinsville,NJ,08691,10,100%
Nurture Growth Bio Fertilizer Inc.,info@nurturegrowthbio.com,www.nurturegrowthbio.com,+16474848383,Canada,,,,1,95%
Ocean Organics,dave@oceanorganics.com,www.oceanorganics.com,+18883120106,USA,Waldoboro,ME,04572,4,100%
"OceanGrown, Inc.",patty@oceangrown.com,www.oceansolution.com,+15048751362,United States,Fort Pierce,FL,34951,3,100%
OptiHumus,rebeca@optihumus.com.mx,,,México,,,,1,70%
Organic AgroNutritionals LLC,agronutritionals@gmail.com,,,USA,,,,2,75%
ORGANIC DESPPO,jorge.garcia@grupodesppo.com.mx,www.grupodesppo.com.mx,,,,,,2,90%
"Organic Growing Solutions, LLC",andrew@everlizer.com,www.everlizer.com,+13863628879,United States,Mayo,FL,32066,4,100%
Organic Nature Fertilizantes SA de CV,evega1@hotmail.com,,+526622850724,Mexico,,,,3,85%
Organic Products Company,cjreiner@organicpro.com,www.organicpro.com,+13527878781,United States,Groveland,FL,34736,2,100%
Organic S.A. de C.V.,organicags@gmail.com,www.organic.com.mx,+524499935610,,,,,4,100%
"OrganicOcean, Inc.",info@organicocean.ca,,+18009913035,US,,,,9,85%
ORGANICOS AGROCAM,organicos_agrocam@hotmail.com,,+4521660564,México,,,,2,85%
Pacific Organics Solutions,michelle.goodman@wasteconnections.com,https://candswaste.com/,+1707376-6621,United States,Ukiah,CA,95482,1,95%
Pelemix Ltd,eli.s@pelemix.com,https://pelemix.com/,+97286727290,,kfar sava,IL,44643,5,100%
Plant Activity Ltd.,jchambers@plantactivityag.com,,+1204-287-2023,Canada,,,,1,80%
Plant Food Organics,pfo@plantfoodorganics.com,www.plantfoodorganics.com,,USA,,,,2,90%
"Plant Revolution, Inc.",cindy@plant-success.com,www.plant-success.com,+17145455335,United States,Santa Ana,CA,92707,9,100%
Plantae Labs SpA,s.decap@plantaelabs.com,www.plantaelabs.com,+494441926328,Germany,,,,5,100%
"Plantation Products, LLC",ryanturner@plantationproducts.com,www.plantationproducts.com,+15082855800,United States,Norton,MA,02766-3326,3,100%
"PlantBest, Inc.",alexm@plantbest.com,www.plantbest.com,+19057456997,,,,,1,95%
PLANTS PRODUCE S.A. DE C.V.,chavabucio@hotmail.com,,+524432731797,México,,,,2,85%
CAMINO REAL 17-3 PLANTA BAJA,ifierro@vetanor.com,,,Mexico,,,,1,70%
Polyorganic Technologies Corp.,jay.bruno@rocketmail.com,www.polyorgtech.com,+16092888233,United States,East Brunswick,NJ,08816,3,100%
"Poncia Fertilizer, Inc.",spreadingit@sbcglobal.net,,+17074818052,United States,Cotati,CA,94931-0718,1,80%
Premier Coir Products,deepakmahesh@coirplus.com,www.coirplus.com,+919843852020,India,,,,1,95%
Pure Life Soil Inc.,mp@pagonislivebait.com,https://purelifesoil.com/,+14165343531,Canada,,,,1,95%
"Purple Cow Organics, LLC",jreuter@purplecoworganics.com,www.purplecoworganics.com,+16088310349,United States,Middleton,WI,53562,15,100%
Recology Ostrom Organics,kcarrier@recology.com,,+18002082371,United States,Wheatland,CA,95692,1,80%
Rhizofields Biofertilizers,isabel.zendejas6495@gmail.com,,,México,,,,1,70%
Ring Organic,k.freeman@ringorganic.com,www.ringorganic.com,,United States,Los Gatos,CA,95032,2,90%
"Rizhao Organic Biotechnology Co., Ltd.",jessielee@sdrzorganic.com,,,China,,,,4,75%
Rogue Compost,joshua.stanley@wasteconnections.com,www.roguecompost.com,+15415541066,United States,Central Point,OR,97502,1,95%
RT Solutions LLC DBA Worm Power,pburke@burkegroup.com,www.wormpower.net,+18552609676,United States,Rochester,NY,14625,1,95%
Sai Cocopeat Export Private Ltd,santhanam@incoconut.com,www.saicocopeat.com,+914512424645,United States,,,,1,95%
SAN Agrow Holding GmbH,sanagrow-at@san-group.com,www.sanagrow.com,+4327828330161,,,,,1,95%
San Pasqual Valley Soils,craig.kolodge@spvsoils.com,www.spvsoils.com,+17607464769,United States,Escondido,CA,92027,1,95%
"Sapropel Organics USA, LLC",kristina@sapropelorganicsusa.com,https://humuson.us,+17343060569,USA,Tonopah,AZ,85354,2,100%
SeaCoast Compost,info@redefiningcompost.com,www.redefiningcompost.com,+1541-888-6757,United States,Charleston,OR,97420,1,95%
Simonis Fertilizers B.V.,fertilizer@simofert.nl,www.simofert.nl,+31242042360,Netherlands,,,,3,100%
Simply Organic,office@simplyorganicsl.com,www.simplyorganicsl.com,+34935554007,Spain,,,,2,100%
"Soil Secrets, LLC",info@soilsecrets.com,https://soilsecrets.com/,+1505-866-7645,United States,Los Lunas,NM,87031,1,95%
Soil Technologies Corp.,morales@soiltechcorp.com,www.soiltechcorp.com,+18005351320,United States,Fairfield,IA,52556,6,100%
Soil3,treddick@supersod.com,www.supersod.com,+18005351320,United States,Fort Valley,GA,31030,1,75%
SoilBiotics,judy@soilbiotics.com,www.soilbiotics.com,+1(815)929-1752,United States,Kankakee,IL,60901,10,100%
"Soli Organic, Inc.",khernandez@soliorganic.com,https://www.soliorganic.com/,,United States,Rockingham,VA,22802,1,85%
"South Cascade Organics, LLC",support@socascade.com,www.socascade.com,+15412441802,United States,Grants Pass,OR,97528,1,95%
South Valley Organics,mkelly@recology.com,www.recologyorganics.com,+14088423358,USA,Gilroy,CA,95020,1,95%
Southern Organics & Supply,vermaplex@live.com,www.southernorganicsandsupply.com,+17042832457,India,Indian Trail,NC,28079,8,100%
St. Louis Composting,pgeraty@stlcompost.com,www.stlcompost.com,+16368613344,United States,Valley Park,MO,63088,3,100%
Stable Soil Matrix,brian@stablesoilmatrix.com,www.stablesoilmatrix.com,+12082499845,United States,Kuna,ID,83634,3,100%
Sunshine Organics and Compost,mike@compostjax.com,www.sunshineorganicsandcompost.com,,United States,Jacksonville,FL,32208,1,85%
Supersoil,admin@supersoilglobal.com,www.supersoilglobal.com,+353426039020,Ireland,,,,1,95%
"Suståne® Natural Fertilizer, Inc.",craigh@sustane.com,www.sustane.com,+18003529245,United States,Cannon Falls,MN,55009-1198,14,100%
"Technaflora Plant Products, LTD",craig@technaflora.com,,+16048264759,,,,,1,80%
TECNIPLANTA S. DE R.L. DE C.V.,info@tecniplanta.mx,www.tecniplanta.mx,+523316008380,Mexico,,,,2,100%
The Mulch & Soil Company,tgeorge@themulchsoilco.com,,,United States,Fort Myers,FL,33916,4,75%
The Organic Recycler,info@theorganicrecycler.com,www.theorganicrecycler.com,+18174372277,United States,Fort Worth,TX,76140,1,95%
"Tidal Organics, Inc.",hannah.wallace@scotia.ca,www.tidalorganics.com,+19027422411,,,,,1,95%
Total Worms,jadean@emypeople.net,,,USA,Greencastle,PA,17225,1,70%
"Tree World Plant Care Products, Inc",info@treeworld.com,www.plantskydd.com,+18002526051,,,,,2,100%
"True Organic Products, Inc.",info@true.ag,www.true.ag,+18313754796,United States,Spreckels,CA,93962,89,100%
Turning Leaf Organics,helia@turningleaforganics.com,www.turningleaforganics.com,+15594678456,USA,Tipton,CA,93272,2,100%
U.S. Soil,jal@ussoil.net,www.ussoil.net,+18772877645,United States,Salida,CO,81201,1,95%
Urban Worm Company,steve@urbanwormcompany.com,https://urbanwormcompany.com,+1833-872-6976,United States,Plymouth Meeting,PA,19462,1,95%
Valterra Fertilizer S de RL de CV,info@valterra.mx,,+526862122091,Mexico,,,,2,85%
Veteran Compost,info@veterancompost.com,https://www.veterancompost.com,+14435843478,United States,Aberdeen,MD,21001,1,95%
"Viatrac Fertilizer, LLC",dkaspar@viatracfertilizer.com,www.viatracfertilizer.com,+13612933478,United States,Yoakum,TX,77995,2,100%
"VitaSoil, LLC",support@vitasoilus.com,www.vitasoilus.com,,United States,Springfield,IL,62701,1,85%
"PLANTA ALTA, PLAZA UNO",bio-fusion@hotmail.com,,+526688122770,Mexico,,,,6,85%
WKP Composting,wes.woolman72@gmail.com,www.grooovypoo.com,+15805442521,USA,Boise City,OK,73933,1,95%
"WM Organics, LLC",jherna41@wm.com,,+12092296712,United States,Houston,TX,77002,4,85%
"XI AN SEEGROW BIO-TECH CO.,LTD.",info@seegrow.com.cn,www.seegrow.com.cn,+862988710139,US,,,,1,95%
