company_name,tier,state,email,website,phone,products
Fungicida Agrícola/Polvo Humectable (iqc-,Tier 2,,elena.bailo@intradix.com,www.intradix.com,,substrate
Gardner & Bloome G&B Organics Native,Tier 2,,kade@hearneco.com,,,"potting soil, planting mix"
GreeNeem Agri Pvt. Ltd,Tier 2,,info@greeneem.com,www.greeneem.com,+914562280885,coco peat
GroPlus Premium Coco Grow Bag,Tier 2,,,,,coco peat
Groundclear Weed & Grass Killer2,Tier 2,FL,tgeorge@themulchsoilco.com,,,"potting mix, raised bed mix"
Grow Appalachia Mountain Pride www.growcoco.us,Tier 2,,,www.growcoco.us,,substrate
Growing Medium Biofungicide FPO (ptf-,Tier 2,IL,liz.dix@pahc.com,,+112175921387,"potting mix, pro-mix"
Grows Brewed with BioChar Mix Zero Grower,Tier 2,,nmreichenbach@riceland.com,www.riceland.com,+18706735575,"potting soil, growing mix"
"Hierbas Y Hojas Verdes 4-4-6 ,",Tier 2,CA,christa@tri-corganics.com,www.tri-corganics.com,+18009273311,potting mix
"Hillsboro, OR 97123",Tier 2,OR,tiffanys@plano.gov,www.texaspureproducts.com,+19727420413,raised bed mix
Horticulture Canadian Sphagnum Peat Moss,Tier 2,IL,zhuyuchuan530@hotmail.com,www.sunshinethai.net,+6637278801,peat moss
Hydrite Chemical Co.,Tier 2,,info@hgreens.com,www.hgreens.com,,organic soil
Hydrolized Feather Meal 12-0-0,Tier 2,,ldflms@gmail.com,,+526688120787,substrate
Hydrolyzed Protein Amino Acid www.toscanacorp.com,Tier 2,,,www.toscanacorp.com,,potting soil
INSECTICIDA Biológico Beauveria bassiana,Tier 2,,sales@coirmedia.com,,,coco peat
India Vietnam,Tier 2,,fathimazahra1981@gmail.com,,,coco peat
Inoculant Powder *,Tier 2,,dan@growqueen.com,growqueen.com,+17202969449,"potting mix, substrate"
Island Organics Seaweed Extract,Tier 2,,greg.cunningham@scotts.com,www.whitneyfarms.com,+19376452772,potting mix
Juniper Organics Limited,Tier 2,FL,daniels.manon@jdirving.com,www.juniperfarms.com,+15062465614 11726,peat moss
Kellie Dinges,Tier 2,,mlininger@newearthcompost.com,www.newearthcompost.com,,peat moss
Kemin Oxine Horticulture (box-,Tier 2,FL,anthony.droui@klasmann-deilmann.com,,+18004337017,substrate
Kentucky Fertilizer,Tier 2,,mpickett@kyfertilizer.com,,,container mix
Kristy K Organics Aged Bark Fines,Tier 2,,info@kokkonut.com,www.kokkonut.com,,coco peat
"LABORATORIOS ULTRATECK, S.A. DE",Tier 2,,lruiz@lallemand.com,https://www.lallemand.com,,"potting mix, peat moss"
Lafarge PNW,Tier 2,,info@lambertpeatmoss.com,www.lambertpeatmoss.com,,"organic soil, peat moss, soilless mix, substrate"
"Liquid Humic Acid , Live Earth",Tier 2,,lombrifertecomate@hotmail.com,,,living soil
Mechanics Worm Castings Soil Amendment,Tier 2,OH,janelle.restum@scotts.com,www.scotts.com,+18002211760,peat moss
"Medium Mycorrhizae , Premier",Tier 2,,info@vegetalprims.com,,+523531050776,pro-mix
Menehune MAGIC Organic,Tier 2,,kenneth.zeman@harrisranchbeef.com,,,organic soil
Micro's Concentrated Granulated fertilizer for,Tier 2,TX,dnewman@michiganpeat.com,,+18003247328,"potting soil, peat moss"
"Microbial Inoculant ,",Tier 2,,greensciencx@gmail.com,www.greenscienx.com,,coco peat
"Microbiológico Líquido l,",Tier 2,,ryanturner@plantationproducts.com,,+1508-285-5800,seed starting
Miyapest Extracto de Neem + Extracto de Ajo,Tier 2,CA,growsoil@sltnet.lk,www.growsoil.com,+94112981880,substrate
"New Earth Manure Compost ,",Tier 2,TX,kellie@nelsonplantfood.com,www.nelsonplantfood.com,+19798658596,organic soil
Organic Poultry Compost 2-2-2,Tier 2,,d@wildspore.farm,,+16153519442,"coco coir, substrate"
"Organic Professional Growing Mix Resilience PORT AREA,",Tier 2,,admin@supersoilglobal.com,www.supersoilglobal.com,+353426039020,"seedling mix, peat moss"
Organic Resilience Silicon Enriched (sgh-,Tier 2,FL,mike@compostjax.com,www.sunshineorganicsandcompost.com,,"potting mix, growing mix"
Organicare Bloom 5-7-10 Nutrient Organic,Tier 2,,regulatory.affairs@borregaard.com,https://www.borregaard.com,,potting mix
"Organics Purely Compost , Gardner",Tier 2,,nicolagrillo@generalchimica.com,www.generalchimica.com,,planting mix
"P.R. Russell Mulch & Soil Products Eraminiyaya Junction,",Tier 2,,info@browngrow.com,www.browngrow.com,+94773130010,coco coir
"PLANTA ALTA, PLAZA UNO",Tier 2,,bio-fusion@hotmail.com,biofusion.com,+526688122770,"potting mix, seed starting"
PSW S.A.,Tier 2,NC,p.van.wakeren@gmail.com,growpuregreen.com,+19197193911,transplant mix
"Peat Moss Ready to use , Framingham, Massachusetts 01705",Tier 2,,cindy@connsmith.com,www.kaken.co,+1703966-5055,peat moss
PlantBest Coir Growing Plugs (plb-,Tier 2,,,,,peat moss
Primal Substrates Inc,Tier 2,,sindhu@primalsubstrates.com,,,"coco coir, pro-mix, substrate"
Professional Grade Sunshine SS Peat Moss,Tier 2,,,,,"growing mix, peat moss"
Professional Growing Mix Sunshine #4 N&O Compost l,Tier 2,,ventas@supercosecha-diagrob.com,,,growing mix
Professional Sphagnum Peat Moss (bpm-,Tier 2,,,,,peat moss
Pure Green Agriculture Inc.,Tier 2,,administracion@promaharin.com,www.promaharin.com,,potting mix
"Reno, NV 89509",Tier 2,NV,bloe@premiertech.com,www.premierhort.com,+1800-424-2554,"peat moss, pro-mix"
Seaside Mulch Inc. SAMSIC KIM,Tier 2,NC,secondtool19@gmail.com,,+8201064350353,coco peat
"Sheth Technologies, LLC.",Tier 2,,,www.pindstrup.com,,peat moss
Soil Amendment - Montmorillonite Clay (pmm-,Tier 2,,trent@prairiehybrids.com,www.prairiehybrids.com,+18155907800,"seed starting, pro-mix, promix"
Soil Amendment Garden Soil for Flowers &,Tier 2,,labradoresdeelcerrito@yahoo.com.mx,https://labradoresdeelcerritoalto.com,+524621697783,peat moss
Soil Quick Release Natural Fertilizer (mgp-,Tier 2,,jzacariasm@gmail.com,,+524448246609,container mix
South Valley Organics Recology,Tier 2,,balaji@southerntrident.com,www.southerntrident.com,,coco coir
Sulfatos y Sin Cloruros Biofertilizante,Tier 2,,dora6@doraagri.com,,+8652933216,potting mix
Sun Bio Naturals India Private LTD,Tier 2,,sakthi@sunasia.in,,+914443552518,"potting mix, organic soil, peat moss"
Surfactin,Tier 2,,diwa.ratnam@katantech.com,,+34603530071,substrate
Tank's Green Stuff 100% Natural,Tier 2,,irving.aguirre@sytrenx.com,sytrenx.com,,potting mix
"Technology Co.,Ltd. Chem One, Ltd.",Tier 2,TX,melanie@chemone.com,www.new-nutri.com,+12816530152,substrate
The Scotts Co. LLC www.thermorock.com,Tier 2 - Commodity,,linda@thermorock.com,www.thermorock.com,,"potting soil, seed starting, blend potting"
Timberfiber LLC,Tier 2,,amondi@timberfiber.com,www.timberfiber.com,+15127663696,substrate
"Tree World Plant Care Products, Inc",Tier 2,,info@treeworld.com,www.plantskydd.com,+18002526051,"potting mix, planting mix"
"USA Monterrey, Nuevo Leon 64830 Mochis",Tier 2,,sam@lgmsoil.com,,+16264488042,planting mix
USA United States Dindigul,Tier 2,CA,contact@greenasitgets.com,www.greenasitgets.com,+16613663200,planting mix
United States Israel SPAIN,Tier 2,PA,product.support@hydrofarm.com,,+18006349990,coco coir
"United States Leigh-on-Sea, Essex SS9 2ES Dindigul, Tamilnadu 624003",Tier 2,CA,sean.lu@jhbiotech.com,,+18056508933,substrate
"United States Los Mochis, Ahome, Sinaloa 81255 Germinaza, SA de CV",Tier 2,CA,state.reg@scotts.com,,+18008084826,growing media
United States United States Campo El Diez,Tier 2,TX,info@coirmart.com,,+15096637151,coco coir
United States United States United States,Tier 2,CA,mike@corigin.co,,+18316758600,organic soil
United States www.knowingnature.com,Tier 2,NJ,rachel@knowingnature.com,www.knowingnature.com,,coco coir
Wallace Farm Inc,Tier 2,NC,eric@wallacefarmproducts.com,www.wallacefarmproducts.com,+17048752975,"potting mix, organic soil"
West Coast Horticulture Calcium,Tier 2,,vitaliy@west-minerals.com,www.west-minerals.com,,potting mix
WonderPeat Growing Media Brick,Tier 2,,,,,growing media
"active Resilience Silicon Enriched ,",Tier 2,CO,mgallagher@sunshinepaper.com,https://www.weedguardplus.com,+18006545432,"growing mix, planting mix"
cleanmainecarbon.com Blend Organic & Natural Seed Starter (com-,Tier 2,ME,pjones@cleanmainecarbon.com,cleanmainecarbon.com,+1207-695-2255,"potting soil, coco coir, raised bed mix"
elementsoil.com,Tier 2,,ncloyd@chpk.com,elementsoil.com,+13026975375 2151),potting mix
"l, Keyplex Sporan 38 EC",Tier 2,,info@kingcoal.jp,,+81452416001,substrate
lawnbox Premium Organic Lawn Food Fall Fix,Tier 2,OR,info@thecococore.com,,+15412262858 5-5-5 (,"organic soil, coco peat"
supplement for foliar and soil application,Tier 2,,suga@sugacoco.com,www.sugacoco.com,,coco coir
truecoirs.com,Tier 2,,info@Truecoirs.com,truecoirs.com,+17744378591,coco coir
www.diton.com Col. La Negreta,Tier 2,IL,suresh.ayakkad@diton.com,www.diton.com,+16306921756,coco peat
www.envelorinc.com,Tier 2,NJ,products@envelorinc.com,www.envelorinc.com,+17323873569,coco coir
www.eurosubstrates.com,Tier 2,,chathura@trowide.lk,www.eurosubstrates.com,,substrate
"www.kulabio.com , ISM Biofertil NPK Fertilizante",Tier 2,,regulatory@kulabio.com,www.kulabio.com,+18007739686,peat moss
www.lallemandwine.com,Tier 2,WI,gspecht@lallemand.com,www.lallemandwine.com,+18006924700,"potting mix, peat moss"
www.oclansorb.com,Tier 2,,mbutler@hi-pointindustries.ca,www.oclansorb.com,+1800-661-1675,peat moss
"www.oildri.com Humic Chelating Agent , Perfect",Tier 2,IL,amy.ciaglo@oildri.com,www.oildri.com,+18002339802,seed starting
"www.theorganicrecycler.com Fine , Scotts Professional",Tier 2 - Commodity,TX,info@theorganicrecycler.com,www.theorganicrecycler.com,+18174372277,peat moss
www.vermontorganics.com,Tier 2,VT,miker@vermontorganics.com,www.vermontorganics.com,+1802-862-1924,potting mix
www.woodindustries.com Western Mining and Minerals Ultra Fine AG®,Tier 2,,ryan.cerrato@denaliwater.com,www.denalicorp.com,,organic soil
